RPM,Velocity (m/s),Velocity (mph),J,Efficiency,Ct,Cp,Power (W),Thrust (N),Thrust/Power,Source
1000,0,0,0,0,0.1192,0.0686,13.171,2.704,20.937,apc
1000,0,0,0,0,0.1192,0.0686,13.4226,2.70451776,20.546247434615868,apc
1000,0.3755136,0.84,0.0444,0.0756,0.1189,0.0698,13.399,2.697,20.525,apc
1000,0.7510272,1.68,0.0887,0.1478,0.1186,0.0712,13.664,2.69,20.074,apc
1000,1.1265408,2.52,0.1331,0.2164,0.1183,0.0727,13.965,2.682,19.586,apc
1000,1.5020544,3.36,0.1774,0.2808,0.1179,0.0745,14.303,2.674,19.066,apc
1000,1.8775680000000001,4.2,0.2218,0.341,0.1175,0.0764,14.673,2.665,18.519,apc
1000,2.2530816,5.04,0.2661,0.3966,0.117,0.0785,15.071,2.653,17.951,apc
1000,2.6285952,5.88,0.3105,0.4477,0.1163,0.0807,15.489,2.638,17.369,apc
1000,3.0041088,6.72,0.3548,0.4943,0.1155,0.0829,15.916,2.619,16.779,apc
1000,3.3796223999999997,7.56,0.3992,0.5366,0.1144,0.0851,16.338,2.594,16.19,apc
1000,3.7551360000000003,8.4,0.4435,0.5747,0.113,0.0872,16.739,2.562,15.607,apc
1000,4.1306496,9.24,0.4879,0.609,0.1112,0.089,17.1,2.521,15.036,apc
1000,4.5061632,10.08,0.5322,0.6398,0.1089,0.0906,17.4,2.471,14.48,apc
1000,4.8816768,10.92,0.5766,0.6674,0.1062,0.0918,17.619,2.409,13.942,apc
1000,5.2571904,11.76,0.6209,0.6921,0.1029,0.0924,17.735,2.335,13.424,apc
1000,5.6327039999999995,12.6,0.6653,0.714,0.0991,0.0923,17.725,2.247,12.926,apc
1000,6.0082176,13.44,0.7096,0.7334,0.0945,0.0914,17.56,2.144,12.448,apc
1000,6.3837312,14.28,0.754,0.7505,0.0892,0.0897,17.217,2.024,11.988,apc
1000,6.759244799999999,15.12,0.7983,0.7651,0.0833,0.0869,16.692,1.89,11.543,apc
1000,7.1347584,15.96,0.8427,0.777,0.0768,0.0833,15.994,1.742,11.105,apc
1000,7.5102720000000005,16.8,0.887,0.7855,0.0698,0.0789,15.141,1.584,10.666,apc
1000,7.8857856,17.64,0.9314,0.7898,0.0625,0.0737,14.151,1.417,10.214,apc
1000,8.2612992,18.48,0.9757,0.7886,0.0549,0.0679,13.038,1.245,9.735,apc
1000,8.6368128,19.32,1.0201,0.7801,0.0471,0.0615,11.817,1.067,9.211,apc
1000,9.0123264,20.16,1.0644,0.7613,0.0391,0.0547,10.502,0.887,8.615,apc
1000,9.38784,21,1.1088,0.7275,0.0311,0.0474,9.105,0.706,7.902,apc
1000,9.7633536,21.84,1.1531,0.6698,0.0231,0.0398,7.642,0.524,6.996,apc
1000,10.1388672,22.68,1.1975,0.5707,0.0152,0.0319,6.127,0.345,5.74,apc
1000,10.5143808,23.52,1.2418,0.3886,0.0075,0.0238,4.58,0.169,3.769,apc
1000,10.8898944,24.36,1.2862,-0.0027,0,0.0157,3.017,-0.001,-0.026,apc
2000,0,0,0,0,0.1195,0.0654,100.436,10.843,11.009,apc
2000,0,0,0,0,0.1195,0.0654,100.66950000000001,10.84476036,10.985033167893308,apc
2000,0.7554976,1.69,0.0446,0.0798,0.1192,0.0666,102.294,10.816,10.782,apc
2000,1.5109952,3.38,0.0892,0.156,0.1189,0.068,104.45,10.79,10.534,apc
2000,2.2664928,5.07,0.1337,0.228,0.1186,0.0696,106.91,10.763,10.266,apc
2000,3.0175199999999998,6.75,0.1783,0.2955,0.1183,0.0714,109.667,10.733,9.98,apc
2000,3.7730175999999997,8.44,0.2229,0.3583,0.1179,0.0734,112.699,10.698,9.68,apc
2000,4.5285152,10.13,0.2675,0.4161,0.1174,0.0755,115.965,10.654,9.369,apc
2000,5.2840128,11.82,0.312,0.469,0.1168,0.0777,119.402,10.597,9.05,apc
2000,6.0395104,13.51,0.3566,0.517,0.116,0.08,122.922,10.523,8.729,apc
2000,6.795007999999999,15.2,0.4012,0.5603,0.1149,0.0823,126.414,10.425,8.409,apc
2000,7.5505056,16.89,0.4458,0.5991,0.1135,0.0845,129.742,10.298,8.094,apc
2000,8.3015328,18.57,0.4904,0.634,0.1117,0.0864,132.753,10.136,7.786,apc
2000,9.0570304,20.26,0.5349,0.6651,0.1095,0.0881,135.279,9.933,7.487,apc
2000,9.812528,21.95,0.5795,0.6929,0.1067,0.0893,137.146,9.684,7.2,apc
2000,10.5680256,23.64,0.6241,0.7177,0.1034,0.0899,138.174,9.384,6.925,apc
2000,11.323523199999999,25.33,0.6687,0.7398,0.0995,0.0899,138.161,9.027,6.663,apc
2000,12.0790208,27.02,0.7133,0.7595,0.0949,0.0891,136.88,8.608,6.413,apc
2000,12.8345184,28.71,0.7578,0.777,0.0895,0.0873,134.141,8.122,6.174,apc
2000,13.5855456,30.39,0.8024,0.7923,0.0835,0.0846,129.901,7.575,5.946,apc
2000,14.3410432,32.08,0.847,0.8052,0.0769,0.0809,124.248,6.975,5.725,apc
2000,15.096540800000001,33.77,0.8916,0.8153,0.0698,0.0764,117.314,6.335,5.506,apc
2000,15.8520384,35.46,0.9361,0.8217,0.0624,0.0711,109.235,5.663,5.286,apc
2000,16.607536,37.15,0.9807,0.8236,0.0547,0.0652,100.132,4.966,5.057,apc
2000,17.3630336,38.84,1.0253,0.8193,0.0469,0.0587,90.121,4.253,4.812,apc
2000,18.1185312,40.53,1.0699,0.8063,0.0389,0.0516,79.309,3.53,4.538,apc
2000,18.8695584,42.21,1.1145,0.7799,0.0309,0.0441,67.811,2.802,4.214,apc
2000,19.625056,43.9,1.159,0.7316,0.0229,0.0363,55.749,2.078,3.801,apc
2000,20.380553600000002,45.59,1.2036,0.6425,0.015,0.0282,43.26,1.364,3.214,apc
